name_scans, frequency
CORONALT1,7
SAG,2
STIR_TSE,14
T1W_3D_FFEPRE,1
PROBEPRESSTECORTOsingledcho,1
T2FFETRASENSE,5
AxT1SEPERFUSION,2
SAGITALT2IPAT2,3
CORONAL,7
PosDisp5SAGITALT2CERV,1
PosDisp11SAGITALT2CERV,1
SAGITALT1GD,2
SAGT1fsDORSAL,1
T1W_SETRA,2
T1SAG,22
SAGITALT1FSEXLCERVFS,1
FLAIR,2
CORONALT2FLAIRasset,13
T1SPIRGD,1
MultiPlanarReconstructionMPROb_Cor_AP_Average_sp12_th,1
TRAFFET2SENSE,1
SAGITALT1,7
AxT2GRE,12
MobiViewGADOSAG,2
AxDIFb3000,3
AXIALT1,7
FLAIRCOR,14
T1W_TSE,24
OAxdynEPISEEPI,2
GADOSA,4
SAGFSPGRBRAVO,2
T1GDTSE,5
SAGINFSDORS,1
SAGT1FSCERV,1
SAGFLAIR,1
AXIALGADO,6
CORT1cerebralgd,1
GDT1SETRACLEAR,2
AXIAL3DISO,1
SAGITALT1TSE,3
SAG3DFIESTAC,2
AXIALT2GRADIENTE,1
FLAIRTRACLEAR,9
FIESTAC,1
T1SE,4
CRANEOONCOGADOCORCORSE5871590,3
DORGADO,1
T2W_COR,2
PERFUSIONCEREBRAL,11
TRAVFLAIR,5
FSPGRBRAVO,1
CorT1FIR,1
NEURON1mm,2
MobiViewSTIR_TSE,1
GADOSPIRSAG,2
AXT1SEGD,1
T2FFEFAST,5
SAGITALT1CERVFSGD,1
AXT1SE,5
T1SETRA,24
CERVGADO,1
AXIALGRADIENTT2,2
T2TSETRASENSE,5
SAGT1,1
SagT1memp,30
FIESTAD,1
AXIALT1VACIO,1
MPROb_Ax_SI_Average_sp10_th10,1
AxT1TSEC,1
MobiViewSTIR_longTE,1
CRANEOONCOT2TSETRATRATSE31409090,3
DWIHR,2
TRAGADO,6
ExponentialApparentDiffusionCoefficient,30
AXIFSPGR3Dgd,1
TRATSET2,1
MPROb_Cor_AP_Average_sp081_th081,1
SagT1lineamedia,2
NEURONAVSENSE,3
SAGTSET1SENSE,4
T2TSETRA,22
T2GRADIENTEAXIAL,1
VASCTSA,1
T1W_3D_FFEPOST,1
T2TSECOR,16
SagT1FLAIR,4
SAGITALT1TSEDORS,2
CRANEOONCOGADOSAGSAGSE4811390,3
CORT2AR,2
SAGITALT2PAT2,1
AXDIFUSION1000b,2
CRANEOONCOGADOTRATRASE4891590,2
T1SEAXI,2
AXFLAIRSENSE,1
axial,2
CRANEOONCOFLAIRTRATRATIR686810290,2
SAGFSPGRBRAVOC,1
T1CORGDCLEAR,4
T1SAGGD,2
SAGITALSTIRCERVICAL,1
SAgT1cerebralgd,1
T1SESAGCTE,1
ax3Dnavegador,1
T1_TSE_AX,2
GADOSPIRD7,1
CRANEOONCOT1SETRATRASE4891590,3
CORGADO,8
FLAIRTRA,38
AXIALT2FLAIR,5
CONTRASTE,5
T1TRAGDCLEAR,3
Ax3DFSPGR,1
CORFLAIRT2,2
AXFSET23MM,2
CORT2FS,1
Ob_Ax_SI_Average_sp14_th14,2
SAGTSET1,2
OAxDWI1000b,17
SAGT2ARLINEAMEDIA,1
SAGITALT1CERVICAL,2
STIR_longTE,11
SagT1FSE,7
SAGITALT2FRFSEXLCERV,2
CRANEOONCOFLAIRTRATRATIR686510290,1
SAGITALT2CERV,3
SAGITAL,5
