name_scans, frequency
AXIAL3DT1FastSPGR,751
DIFUSIONB1000,701
AXIALT23mm,673
3PLANOSLOC,473
CORONALT1,441
AXIALGRET2,411
AXIALT2FLAIR3mm,359
AXIALT1,331
SAGITALT2FLAIR,301
PJN,241
Reformatted,213
AXIALGRT2,210
3DFLAIRSAGITAL,163
AXIALT2,160
EPIDIFUSIONTRA,145
EPIDIFUSIONTRA_ADC,144
CORONALT2FLAIR,141
AXIALGRADIENTET2,133
AXT1SE,123
CORFLAIR,121
SAGITALT2FLAIRGD,119
AXIAL3DISO,119
SAGITALT2,111
CORONALT1SE,98
SAGITALT1,90
AXIALT2GRADIENTE,85
SAGITALT1SE,83
AXIALT2FLAIR3mm35CORTES,80
EPIDIFUSIONTRAb01000_ADC,77
EPIDIFUSIONTRAb01000,77
CORFLAIRONCOLOGICOS,72
unknown,66
LOCALINYECTARGD3DALOS10MIN,49
AXIAL3DTOFENHANCED,47
SAGT1CERVICAL,46
LOCCOR2DPC,45
SAGT2CERVICAL,43
SAGITALSTIRCERV,42
SAGITALT2CERV,40
ToF3Dmultislab,39
AX3DT110MIN,39
ToF3Dmultislab_MIP_TRA,39
SAGITALT1CERV,36
CORONALGD,35
AXIAL3DTOF,35
sagstir,34
SAGITALGD,34
LOCSAG2DPCSOLOLOCALIZ,32
PCCOR_MSUM,28
ARTERIALFL3D_TT10s_SUB,28
CORONAL,27
SAGITAL,27
AXIALT2FLAIR,27
SAGGD,25
CORGD,25
SAGITALT2IPATDORS,25
SAGITALSTIRDORS,25
ARTERIALFL3D_SUB_MIP_SAG,25
ARTERIALFL3D_SUB_MIP_COR,25
AXIALGRMERGE,23
SAGITALT1TSEDORS,23
ARTERIALFL3D_TT10s,21
AxDIFb3000,21
PROBEPRESSTECORTO,21
AXIAL,21
PCSAGITAL2_MSUM,21
CORT2HRlesion,21
MASCARAFL3D_TT10s,20
AxT1Locgd12CORTES,20
OAxdynEPISEEPI,20
carotidas,20
AXIALFLAIR40CORTES,20
AXT240CORTES,19
tsa,18
