name_scans, frequency
Care_Bolus_coreldetodalavida,18
carotidasmascara,18
AxPROBE2DSIPRESS144TE,17
SAGITALT2PAT2LUMB,16
SAGITALT1TSEIPAT2LUMB,16
SAGITALSTIRIPAT2LUMB,16
LOCLUMBAR,16
AXIALT2ME2DIPATCERVII,16
AXIAL3DFIESTA,15
willis,15
LOCCERVICAL,15
AXIAL3DISOGD,15
VASCVENOSOgd,14
AXIALT240CORTES,13
AXIALT2FRFSEXL,13
CORT2LOBTEMPHR,12
AXIALIRT1,12
CEREBRALGDCORONAL,12
CEREBRALGDSAGITAL,12
AxFAME,12
SAGITAL3DVENOSO_TT10s,11
SAGITAL3DVENOSO_MIP_SAG,11
SAGITALT1CERVGD,11
SAGITAL3DVENOSO_MIP_COR,11
CORONALSSFSE,10
AXIALT2DISCOSLUMB,10
AXIALT1SEGD,10
HASTESTIRCORONALT2DORSALMORO,10
AxFAMEgd,10
MPRRango,10
sagstirCERVICAL,9
SAGT2ARLINEAMEDIA,9
WILLIS2,9
PosDisp9SAGITALT2CERV,9
AxT1Flair,9
PosDisp8SAGITALT2CERV,9
SAGITALT2ARLINEAMEDIA,8
MPRRango1,8
VENOSO,8
CORONALT2,8
SAGT1gdCERVICAL,8
SAGT1CERVICALGD,8
CORT2HR,8
williscoronal,8
CORT2,8
AXIALFLAIR,8
PosDisp14SAGITALT2IPATDORS,8
MIPRango,8
AXIALT2ME2DIPAT,8
MIPRango1,7
AXIALT2FSORBITAS,7
CORONALT2LOBTEMPORALES,7
AXIALT1PRE,7
WILLIS1,7
HASTET2CORONAL,7
AXIALGD,7
CORONALFLAIR,7
SAGITALT1TSEDORSGD,6
3DFLAIRCOR,6
CORONALT225MMLOBTEMPORALES,6
mip,5
MIPRango2,5
CORSTIRORB,5
coronalT23mm,5
SAGT2DORSAL,5
TOF,5
SAGITALT1GDCERV,5
AXIALT1GD,5
SAGT2AR,5
t2_ci3d_AXIAL,4
SAGT1LUMBAR,4
CORT2AR,4
CORONALT2orbitas,4
t1_vibe_fs_AXIAL,4
SagT1FSORBDERECHAC,4
AXIALDP,4
AXIALDIFUSION,4
AXIALT1FS,4
PosDisp4SAGITALT2CERV,4
SAGT1fsCERVICAL,4
CORONALT1SEGD,4
TRONCOS,4
CORONALT1SEC,4
CORONALT1FSGD,4
tofcor,4
SAGT2LUMBAR,4
AXIALT2FINO3MM,4
Vasculararterial,3
PosDisp21AXIALT2DISCOSLUMB,3
DIFUSIONB1000CORONAL,3
PosDisp12SAGITALT2CERV,3
SAGITALT1GDTSEDORS,3
SagT1FSORBIZQUIERDAC,3
SAGITALSTIR,3
AXIALFLAIR40C,3
AXIALT1FSGD,3
Vascularvenoso,3
Vascularmascara,3
AXIALT1FSORBITAS,3
SAGT1DORSAL,3
AXT13DFSPGRIRpreped,3
SAGITALT1FSGD,3
sagitalT23mm,3
SAGINFSDORSAL,3
LOCDORSAL,3
PosDisp13AXIALT2ME2DIPATCERVII,3
PosDisp15SAGITALT2IPATDORS,3
SagT1ORBDERECHA,3
SAGINFSCERVICAL,3
AXIALT1PREGD,3
SagT1ORBIZQUIERDA,3
PosDisp10SAGITALT2CERV,3
AXIALT2FRFSEXL20,3
AXIALT2DISCBASICO,3
AXIALFLAIR3MM,2
SAGT2ARHIPOFISIS,2
CEREBRAL3DGDCORONAL,2
AXIALINFSORBITAS,2
CEREBRAL3DGDSAGITAL,2
FLUJOGRADIENTESAGITAL,2
SagT1FSORBIZQUIERDA,2
PosDisp12AXIALT2ME2DIPAT,2
FLUJOGRADIENTESAGITAL_MAG,2
FLUJOGRADIENTESAGITAL_P,2
CORT2LOBTEMP,2
PosDisp10AXIALT2ME2DIPATCERVII,2
PosDisp17SAGITALT2PAT2LUMB,2
AXIALNAVEGADOR3DISO,2
PosDisp12AXIALT2ME2DIPATCERVII,2
AXIAL3DFIESTANUEVO,2
SAGITALT1FSHIPO,2
CORT1FSC,2
AXIALFLUJOCAROTIDAS,2
MPRRango2,2
SagT1FSORBDERECHA,2
AXIALGRT2globoocular,2
SAGITALT1GDTSEIPAT2LUMB,2
PosDisp17SAGITALT2IPATDORS,2
SAGT1FSGDCERVICAL,2
PosDisp17AXIALT2ME2DIPATCERVII,2
CORONALT1FSORBITASGD,2
3DTOFF,2
INPHASEFSAXcuello,2
AXIALT2bloque,2
PosDisp20SAGITALT2IPATDORS,2
CORT1ORBITAS,2
SAGITALT1FSTSEDORS,2
SAGITALT1FSGDTSEIPAT2LUMB,2
Calibration,2
SAGITALT1PARALT,2
AXIALINFSORBITASC,2
SAGITALT1FSGDCERV,2
EPIDIFUCERVICAL,2
PosDisp13AXIALT2ME2DIPAT,2
AXIALINFSCUELLOC,2
AXIALT2CERV,2
EPIDIFUCERVICAL_ADC,2
CORT2CAIS,2
PosDisp18SAGITALT2PAT2LUMB,2
SAGINFSgd,2
AXIALT2FLAIR3mmGD,2
PosDisp14AXIALT2ME2DIPATCERVII,2
SAGT1CERVICALC,2
CORINFSORBITASC,2
CORT2finoHR,1
WIILIS1,1
sagFLAIR,1
AXIALSTIRMAXILO,1
PosDisp14SAGITALT2CERV,1
PosDisp16SAGITALT2PAT2LUMB,1
CORONALT1CERV,1
SAGT2FLAIR,1
SAGT1FS,1
SAGITALT1TSEFSDORSAL,1
PosDisp6AXIALT2ME2DIPATCERVII,1
SAGINFSDORSALC,1
SAGITALT1TSEFSIPAT2LUMB,1
coronaT1gd,1
PosDisp11SAGITALT2CERV,1
PosDisp13AXIALT2CERV,1
PosDisp7SAGITALT2PAT2LUMB,1
CORT2LESION,1
VENOSOFL3D_SUB_MIP_SAG,1
AXIALGRMERGEcervical,1
EPIDIFUSIONTRA3mm,1
AXT23MM,1
SAGITALSTIRDORSAL,1
PosDisp8SAGITALT2IPATDORS,1
SAGITALSTIRLUMBAR,1
AXIALT2FLAIR3mmC,1
SAGT1CCERVICAL,1
PosDisp19SAGITALT2PAT2LUMB,1
SAGITALT1TSEDORSfsgd,1
AXIALINFSMAXILOC,1
AXIALINFS,1
EPIDIFUDORSAL_ADC,1
CORT1AR,1
SAGITAL3DVENOSOCEREBRALGD_MIP_SAG,1
PosDisp6SAGITALT2CERV,1
FLUJOGRADIENTEAXIAL10_MAG,1
SAGITALDPCERV,1
PosDisp11SAGITALDPCERV,1
PosDisp13SAGITALT2IPATDORS,1
SAGITAL3DVENOSOCEREBRALGD_TT10s,1
PosDisp11AXIALT2ME2DIPATCERVII,1
PosDisp20AXIALT2ME2DIPATCERVII,1
GDCEREBRALCORONAL,1
VENOSOFL3D_SUB_MIP_COR,1
DIFUSIONB1000cor,1
PosDisp6AXIALT2DISCOSLUMB,1
AXIALINFSBLOQUEcervicalgd,1
AXT2BLOQUECERVICAL,1
WILLIS01,1
SAGITALT2DORSAL,1
SAGITALT1CERVFS,1
CORONALFLAIR40C,1
SAGINFSCERVICALGD,1
SAGITALT1MAXILO,1
coronalINFSgd,1
PosDisp18AXIALT2ME2DIPATCERVII,1
AXIALlo,1
SAGINFSLUMBAR,1
AXIALINFSCUELLOGD,1
PosDisp3SAGITALT2PAT2LUMB,1
OblT13DFATC,1
AXIALINFSMAXILO,1
EPIDIFUSIONCOR,1
mipvenoso,1
SAGITALT1FSHIPOGD,1
SUB_S29S23_1VENOSO,1
SAGITALT1FSCERVICAL,1
PosDisp12AXIALT2CERV,1
SAGITALT1TSELUMBGD,1
PosDisp22SAGITALT2PAT2LUMB,1
AXIALT23mmGD,1
FLUJOGRADIENTEAXIAL10_P,1
SAGITALT1TSEFSLUMBAR,1
PosDisp8AXIALT2DISCOSLUMB,1
AXIALFLAIS,1
PosDisp13AXIALT2DISCOSLUMB,1
MPRRango3,1
SAGT1GD,1
EPIDIFUSIONCOR_ADC,1
VIBEAXIALCEREBRAL,1
PosDisp20SAGITALT2PAT2LUMB,1
CORONALT1HIPO,1
CORONALT2FLAIRlobulostemporales,1
SAGITALT2FLAIRC,1
sag3DT1FastSPGR,1
SAGITAL3DVENOSOCEREBRALGD_MIP_COR,1
PosDisp21SAGITALT2PAT2LUMB,1
AXIALT2CUELLO,1
AXIALFLAIR3D,1
SAGITALT1FSGDTSEDORS,1
AXT2DORSDISCOS22C,1
EPIDIFUSIONTRA3mm_ADC,1
PosDisp13SAGITALT2CERV,1
SAGITALT1DORSAL,1
AXIALIRT13mm,1
SAGITALT1CERVfsgd,1
SAGdpCERVICAL,1
CORT1,1
AXIALINFSCUELLO,1
AXT2DORSDISCOS,1
CORONALT1MAXILO,1
SAGT1fsDORSALc,1
CORFLAIRC,1
SAGT1FSCAR,1
SAGITALT1GDLUMB,1
CORONALT2TRUFIlocalizador,1
sagstirDORSAL,1
AXIALINFSgd,1
AXSTIRcuello,1
CORONALSTIRMAXILO,1
PosDisp18AXT2DORSDISCOS22C,1
AXIALSTIRCUELLO,1
T2AXcuello,1
SAGITALT1DORSGD,1
PosDisp7SAGITALT2IPATDORS,1
CORFLAIRGD,1
VASCVENOSO,1
CORINFSMAXILOC,1
PosDisp26AXIALT2DISCOSLUMB,1
MIPRango3,1
SAGITALT1TSEIPAT2LUMBgd,1
corT2ARLINEAMEDIA,1
PosDisp25AXIALT2DISCOSLUMB,1
CORONALT1HIPOGD,1
SAGT1fsCERVICALc,1
AXIALT2DORSBLOQUES,1
ExponentialApparentDiffusionCoefficient,1
DIFUSIONCORONALB1000,1
VENOSOFL3D_TT10s,1
VENOSO3D,1
sagitalt1fscervicalgd,1
sagitalt1fsdorsalgd,1
AXIALT2DORS,1
AXIALT2loca,1
GDCEREBRALSAGITAL,1
SAGITALDPCERVICAL,1
axialT2CERVICAL,1
VENOSOFL3D_TT10s_SUB,1
PosDisp10SAGITALT2PAT2LUMB,1
AXIALINFSBLOQUEcervical,1
carotidasVENOSO,1
AXIALGRADIENTET23mm,1
WILLIS02,1
EPIDIFUSIONCORONALb01000_ADC,1
CORT2ARHIPOFISIS,1
SAGITALT2SSFLAIR,1
t2_spc_dafl_sag_p2_isoMod,1
PosDisp18AXIALT2DORSBLOQUES,1
CORONALT2AR,1
PosDisp23SAGITALT2PAT2LUMB,1
AX3DT1GD10MIN,1
ApparentDiffusionCoefficientmms,1
AXIALSTIR,1
AxFAMEc,1
PosDisp9SAGITALT2IPATDORS,1
AXFLAIR,1
sagitalt1fslumbargd,1
EPIDIFUDORSAL,1
TRUFISAG3MM,1
SAGT1fsDORSAL,1
coronalT2FLAIR3mm,1
AXIALSTIRMAXILOCUELLO,1
PosDisp15AXIALT2ME2DIPATCERVII,1
FLUJOGRADIENTEAXIAL10,1
SAGINFSLUMBARC,1
SAGT1FSAR,1
PosDisp23AXIALT2DISCOSLUMB,1
sagT2,1
CORT1C,1
CORONATLT2AR,1
SAGITALT1FSCERV,1
PosDisp15AXIALT2ME2DIPAT,1
PosDisp5SAGITALT2CERV,1
AXIALT2FLAIR3mm36CORTES,1
SagT1FSORBIZQUIERDAGD,1
AXIAL40C,1
CORT1HIPOARC,1
AXIALT2MAXILO,1
PosDisp16SAGITALT2IPATDORS,1
CONTRASTE,1
SAGITALT2LM,1
PosDisp22AXIALT2DORS,1
SAGINFSCERVICALC,1
EPIDIFUSIONCORONALb01000,1
CORT1GD,1
SAGINFSMAXILOC,1
