name_scans, frequency
PosDisp7AXIALT2DISCOSLUMB,16
CORT2PAT2LUMB,1
EPIDIFULUMB_ADC,3
CORONALSTIRcaderas,2
SAGT1fsLUMBAR,5
AXIALT2fs,1
AXIALDPFScaderas,2
AXIALT2DISCOS,2
PosDisp7AXIALT2bloque,3
SAGITALT1,1
CORONALT1TSEIPAT2LUMB,1
SAGITALGRADT2CADDERECHA,2
PosDisp6SAGITALT2IPATDORS,1
EPIDIFULUMB,3
